,gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction,patient,passage,group
5817,TSC22D1,ENSG00000102804,-0.66970351116743,9.24115963543528e-07,0.167452412669545,0.225891897923084,trans,Away from UnRx,Pt5,X10,1
5818,TSEN15,ENSG00000198860,-0.54402169396115,7.87164514416143e-05,-0.390265193683661,0.000942468939463414,trans,Towards UnRx,Pt5,X10,1
5819,TSPAN13,ENSG00000106537,-0.636073249179813,3.69067590973184e-10,-0.387575344003093,2.45274436715828e-05,cis,Towards UnRx,Pt5,X10,1
5820,TSPAN14,ENSG00000108219,-0.605194904787517,1.53563576844185e-05,-0.114840124342768,0.434351677881922,trans,Towards UnRx,Pt5,X10,1
5821,TSPAN15,ENSG00000099282,0.63153296783777,1.51296667207902e-08,0.656121928286464,6.03531217221531e-15,cis,Towards UnRx,Pt5,X10,1
5822,TSPAN33,ENSG00000158457,0.80918418942087,2.1288947356519e-08,0.553985330794702,1.63852844450988e-06,trans,Towards UnRx,Pt5,X10,1
5823,TSTA3,ENSG00000104522,-0.549135124400055,4.00047573346393e-10,-0.0114335465767126,0.924734015133496,cis,Towards UnRx,Pt5,X10,1
5824,TTC23,ENSG00000103852,0.815201809237597,2.6235038570841e-07,0.978618868118109,5.20150013889856e-15,trans,Towards UnRx,Pt5,X10,1
5825,TTC3,ENSG00000182670,0.702377889278668,1.20462816841575e-16,0.815984093181183,4.99128992195368e-32,trans,Towards UnRx,Pt5,X10,1
5826,TTC39A,ENSG00000085831,1.47328687590097,3.35879855739089e-21,0.335082293168834,0.00652823925762514,trans,Towards UnRx,Pt5,X10,1
5827,TUBB2A,ENSG00000137267,1.11444407288128,5.39036307596397e-14,0.670649496037093,1.12402662607447e-08,cis,Towards UnRx,Pt5,X10,1
5828,TUBGCP3,ENSG00000126216,0.664489037239958,1.24190316927323e-06,0.26305602941934,0.0198893647421761,cis,Towards UnRx,Pt5,X10,1
5829,TWISTNB,ENSG00000105849,-0.773362551029561,4.74887057396044e-14,-0.718773826731982,4.51076617286377e-16,cis,Towards UnRx,Pt5,X10,1
5830,TXNIP,ENSG00000265972,0.628364462313485,0.000443437572534007,0.749089944957017,2.04918197367349e-08,trans,Towards UnRx,Pt5,X10,1
5831,TXNL1,ENSG00000091164,-0.854117216204403,6.08487032209001e-19,0.151122926590391,0.120055020474633,cis,Away from UnRx,Pt5,X10,1
5832,TXNRD1,ENSG00000198431,-0.792717689512054,2.62190435509822e-09,-0.00639312934221721,0.978445102160121,trans,Towards UnRx,Pt5,X10,1
5833,U2AF1,ENSG00000160201,0.609369541189988,0.0023542782593334,0.119188679263154,0.471474579437745,cis,Towards UnRx,Pt5,X10,1
5834,UBALD2,ENSG00000185262,0.615240178252734,2.09932813545355e-06,-0.067762321686997,0.603248591761894,trans,Away from UnRx,Pt5,X10,1
