gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,F,G,H,I,J,ct,col,label,color
ANO1,0.747863738385514,6.02967276793187,17.0824570441596,4.33953983646052e-05,0.000268723394683913,ENSG00000131620,-0.0867613731770798,6.65635155997785,0.383856342258753,0.535707800090113,0.662091330692844,ENSG00000131620,3,3,3,2,3,3,3,3,3,3,trans,FALSE,Away from UnRx trans,coral2
ANPEP,-0.573383875012657,6.27996268889074,11.2504790808863,0.000869905050511894,0.00363031241552208,ENSG00000166825,-1.12478333342137,6.93807562483323,59.8331009988597,2.83744886378249e-14,9.07983636410397e-13,ENSG00000166825,3,5,5,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ANXA1,-0.571567962917539,9.79808563463244,14.4577863446398,0.000165059609074994,0.000866154384254922,ENSG00000135046,-0.24941073435503,9.74629893918554,4.27228227671205,0.0390323742863479,0.086409673362319,ENSG00000135046,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ANXA11,-0.753411580493777,7.65805968249013,53.0507877046777,1.67129330957465e-12,4.84191405764232e-11,ENSG00000122359,-0.790926310947028,7.98462217197661,82.9951301928888,5.47824633618902e-19,3.10153023341163e-17,ENSG00000122359,3,3,3,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ANXA6,-0.982685817695827,6.29946113614713,34.6399165505414,8.2409441480537e-09,1.21127090985259e-07,ENSG00000197043,-0.707225878231154,6.74380017514392,23.4810930667042,1.491836702723e-06,1.27218302777662e-05,ENSG00000197043,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
AP1G1,0.558747916866398,6.35060466022849,12.6665639724899,0.000415713718031494,0.00192673899149371,ENSG00000166747,0.789510491120904,6.70420395888959,36.7118260511457,2.03236433275827e-09,3.06230896627263e-08,ENSG00000166747,3,1,1,2,NA,2,2,2,2,2,cis,TRUE,Towards UnRx cis,deepskyblue4
AP1M1,-0.556956900568563,6.27635187547471,12.5248026312509,0.000447452463959598,0.00204959161173156,ENSG00000072958,-0.122227042143566,6.67301962641602,0.772547742887877,0.407409591228833,0.54057619870718,ENSG00000072958,4,3,3,4,4,4,4,4,4,4,trans,TRUE,Towards UnRx trans,deepskyblue
AP1M2,-0.678403430291164,7.20830338386417,38.6014935568727,1.27536706218713e-09,2.2399721696503e-08,ENSG00000129354,-0.645694828856234,7.53378860078365,48.1143061705908,7.81361173387615e-12,1.77431123889277e-10,ENSG00000129354,4,3,3,4,4,NA,4,4,4,4,trans,TRUE,Towards UnRx trans,deepskyblue
AP2A1,-0.57428650699395,6.34461845731097,14.7501317733485,0.000142099787529909,0.000761641335897965,ENSG00000196961,-0.291285075334665,6.74852825015814,4.76624634092994,0.029288002662193,0.0683481974321616,ENSG00000196961,3,3,3,3,3,3,3,2,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
AP3D1,-0.684595288593167,6.76389470029249,26.5691903063934,3.9579577095138e-07,4.17578442186409e-06,ENSG00000065000,-0.425664531571553,7.06929300059622,12.4372456815564,0.00044271984693461,0.00196472332814024,ENSG00000065000,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
AP5S1,-0.525857592826871,6.10409503124949,9.84777939251648,0.00182286726891841,0.00680084227451547,ENSG00000125843,-0.197742614759861,6.57891052041588,1.96223402017871,0.184600061764926,0.296949124237864,ENSG00000125843,4,3,3,4,4,4,4,3,4,4,trans,TRUE,Towards UnRx trans,deepskyblue
AP5Z1,-1.47140163574265,6.20023107944065,70.3669463912981,7.97604085371747e-16,3.72352995295308e-14,ENSG00000242802,-1.09320407962159,6.66667254328503,51.5942187192253,7.82566202772521e-12,1.77431123889277e-10,ENSG00000242802,NA,5,5,6,NA,5,6,6,6,6,unkn,TRUE,0,0
APOC1,-0.565976362291809,7.07693691743699,17.9628446297122,2.78359709765459e-05,0.000180303449675542,ENSG00000130208,-0.0160939545474518,7.1899403941224,0.0203372948980691,0.886631894626632,0.932025265632566,ENSG00000130208,4,3,3,4,4,4,4,3,4,4,trans,TRUE,Towards UnRx trans,deepskyblue
APOE,-1.16893438725254,9.16102335890617,105.921104317943,2.95379307796684e-22,3.24557019908308e-20,ENSG00000130203,-0.480765425389311,8.96056504391148,25.4240870819916,5.59322600907701e-07,5.15568270277927e-06,ENSG00000130203,4,3,3,4,4,4,4,3,4,4,trans,TRUE,Towards UnRx trans,deepskyblue
APOO,0.68352466779554,6.21688473487279,16.8118071266647,4.97618016436975e-05,0.000303351713673691,ENSG00000184831,0.222327522919035,6.74580005566309,2.79282217338276,0.0950447589068995,0.177510882924305,ENSG00000184831,2,3,3,1,1,1,1,1,1,1,cis,TRUE,Towards UnRx cis,deepskyblue4
APOOL,0.579018040666902,6.10263892598529,11.2944258568686,0.000850095365742209,0.0035658097045332,ENSG00000155008,0.29948926072424,6.62247637695779,4.82084680527724,0.0506798196676269,0.106689662173785,ENSG00000155008,2,3,3,1,NA,NA,1,3,1,NA,cis,TRUE,Towards UnRx cis,deepskyblue4
