gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,G,H,R,ct,col,label,color
OIP5,0.00436496220907218,7.44642435483117,0.00554983846341966,0.963210731565458,0.986337993486545,ENSG00000104147,-0.622652057408739,7.31592042952978,105.34358459441,2.1915919794096e-24,1.06521028841818e-23,ENSG00000104147,2,NA,2,2,2,2,2,NA,trans,FALSE,Repressed trans,deepskyblue
ONECUT2,-0.031856034978075,7.71088208526155,0.445171839893378,0.504667555116085,0.667168168321043,ENSG00000119547,1.10012459087297,7.50910911494777,238.333538084363,3.86709690378683e-52,4.54629260363975e-51,ENSG00000119547,NA,3,3,2,1,1,2,3,unkn,FALSE,0,0
OPA1,0.0881997514104756,7.59931115432377,3.32594113984704,0.0682547027336263,0.167061851820845,ENSG00000198836,0.674523180582854,7.42521265979424,106.909281934463,1.01695039190649e-24,5.02454849633157e-24,ENSG00000198836,NA,3,3,3,3,3,3,3,unkn,TRUE,0,0
ORAI1,-0.0672698096606614,7.40611518570936,2.22318383066581,0.205987994096157,0.368745404945943,ENSG00000276045,-0.561623003098717,7.2564662536581,95.2784295943244,5.14474101073882e-17,1.79446087061312e-16,ENSG00000276045,NA,3,NA,3,3,3,3,3,unkn,TRUE,0,0
OSBPL2,-0.0162358655793347,7.48570035591862,0.130684690669978,0.717738472387728,0.828768364883675,ENSG00000130703,0.741980694080543,7.2942593992825,121.560831715635,4.76962124948124e-25,2.39444095479772e-24,ENSG00000130703,4,4,NA,3,3,3,2,4,cis,FALSE,Activated cis,darkred
OSBPL8,-0.0567054522255129,7.85865732328532,1.89720757606996,0.168452929667736,0.321491640387369,ENSG00000091039,0.634422562225093,7.6788658385386,118.687076899333,3.19618923455348e-27,1.75619792816746e-26,ENSG00000091039,3,2,NA,2,2,2,2,2,cis,FALSE,Activated cis,darkred
OSR2,-0.0593655238149875,7.39028549595306,1.70192437716355,0.257817027797972,0.428148940178214,ENSG00000164920,-1.93272621588202,7.34687735776247,1239.08395968359,4.84459654798118e-234,7.48005707008294e-232,ENSG00000164920,2,2,NA,5,5,5,5,2,cis,TRUE,Repressed cis,deepskyblue4
OTUD4,0.0295159224130689,7.53998465118835,0.373882382621995,0.540923432520518,0.69925529137393,ENSG00000164164,0.700785935569099,7.35562412749965,110.398103645889,1.84038662464827e-25,9.4039391565039e-25,ENSG00000164164,2,2,2,2,2,2,2,3,trans,TRUE,Activated trans,coral2
P4HA1,-0.0578614077472277,7.6033204494377,1.22515268159556,0.268405104306715,0.440088073769171,ENSG00000122884,1.05176191481029,7.39942844773365,205.757001026533,1.9339385581743e-45,1.89788207658122e-44,ENSG00000122884,NA,NA,NA,NA,NA,NA,NA,2,unkn,FALSE,0,0
PA2G4,-0.010624000711379,8.61636818484123,0.136076307751709,0.712228913053404,0.825371057352006,ENSG00000170515,-0.99486343295588,8.72295520524197,890.468670210751,2.54358996709386e-175,1.99693368264047e-173,ENSG00000170515,3,3,3,3,3,3,3,2,trans,TRUE,Repressed trans,deepskyblue
PABPN1,0.0875971788672852,7.61244431366392,3.46082723532836,0.0628976009811241,0.157127021170669,ENSG00000100836,-0.590543788832954,7.52273199640559,113.637712784543,3.77003921326042e-26,1.97766949443061e-25,ENSG00000100836,2,2,2,2,2,2,2,2,trans,FALSE,Repressed trans,deepskyblue
PACS1,-0.0995594305041237,7.40946539124314,4.46890488146112,0.0787459888223619,0.185204049896791,ENSG00000175115,0.581277681570273,7.21442285159111,90.6008673055568,7.0086526278056e-15,2.19129793938546e-14,ENSG00000175115,3,3,3,3,3,3,2,3,cis,FALSE,Activated cis,darkred
PAFAH1B2,0.0704571122715748,7.71351698994782,2.46450358959787,0.116507827381959,0.246583989712146,ENSG00000168092,0.576417810347602,7.54794097771413,88.939776122228,7.01090809873659e-21,2.92168477852882e-20,ENSG00000168092,NA,NA,3,3,3,3,2,NA,unkn,TRUE,0,0
